"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6, C7, C8","8","0.22u","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm",""
"2","CE1, GND1, TP6","3","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"3","DC1","1","CME0505S3C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"4","GND2, VCC1, VDD2, VEE1","4","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm",""
"5","J1, J2, J7, J8","4","Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"6","J3, J4","2","Solderless_mini_2Rows-17Pins","Library:Solderless_mini_th_pogo_2x17_P2.54mm",""
"7","J5, J6","2","Solderless_power-4Pins","Library:Solderless_power_2x4_P2.54mm",""
"8","JP1","1","SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels",""
"9","JP3, JP4","2","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"10","JpVDD1, JpVDD2, JpVDD3, JpVDD4, JpVDD5","5","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"11","JVEE1","1","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"12","PMOD1","1","Conn_02x06_Top_Bottom","Library:PMOD_Header_2x06_P2.54mm",""
"13","R1, R2, R3","3","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"14","R4, R6, R8","3","330k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"15","R5, R7, R9","3","680k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"16","R10","1","1.2k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"17","R11","1","4.7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"18","R12","1","510","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"19","RV1","1","10k","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical",""
"20","U1, U2, U3, U4, U5","5","~","JumperlessFootprints:LQFP44_Tight",""
"21","U9","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
"22","U10","1","MCP4822","Package_DIP:DIP-8_W7.62mm",""
"23","U11","1","MCP6004","Package_DIP:DIP-14_W7.62mm",""
